number,idea,show
94,"A program with a common notebook where you can select paragraphs to add it to books, you can even sort it. First by order in the common book, but you can modify the order. You will have an splited screen with that order and how it looks, you can make changes in the view and a preference to choose if it will affect the sketch or just modify it in the 'polished' view.",True
95,A seated Pearson looking at him phone saying something about People with no enemies with a vignette of binoculars,True
96,A restaurant where's a menu for eggs and another with mushrooms,True
97,Learn LaTex,True
98,Learn SQL,True
99,YT channel telling stories with PSX graphics,True
100,3D brain sliced in parts,True
101,XY rules 3d,True
102,vim shotcuts inphography,True
103,A game about The little Price,True
104,Rabbit R1 device with a raspberry pi pico,True
105,Lock backpack,True
106,Can alcohol deapears make peoples condition or increse suicide,True
107,Sell devices to build local servers for normal people,True
108,Silicon pen,True
109,Light for 3D print and whiteboard,true
